"Report Form","Report Form"
"Main Information","Main Information"
"Add New Report","Add New Report"
"Delete","Delete"
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Edit","Edit"
"ID","ID"
"Temperature","Temperature"
"CreatedAt","CreatedAt"
"Back","Back"
"Are you sure you want to do delete this entity?","Are you sure you want to do delete this entity?"
"Save and Continue Edit","Save and Continue Edit"
"Save","Save"
"You deleted the record.","You deleted the record."
"Record does not exist.","Record does not exist."
"This record no longer exists.","This record no longer exists."
"Report Edit","Report Edit"
"Report","Report"
"Please correct the data sent.","Please correct the data sent."
"There was an error saving the data: ","There was an error saving the data: "
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved this record.","You saved this record."
"Something went wrong while saving the record.","Something went wrong while saving the record."
"To apply changes you should fill in required ""%1"" field","To apply changes you should fill in required ""%1"" field"
